,coefficient
w2be16,0.0
w2be16.1,0.0
w2be16.2,0.0
w2be17,0.12062452398386231
w2be17.1,0.0
w2be17.2,0.016787853529895137
w2be11,0.007810482230110478
w2be23,0.0
w2be23.1,0.0
w2be23.2,0.019218534742121148
w2be23.3,0.0
w2be23.4,0.0
w2b18,0.0
w2b18.1,0.0
w2b18.2,0.0
w2b18.3,0.0
w2ba29,0.0
w2ba29.1,0.02560534478201427
w2ba29.2,0.45275434285735416
w2a27,0.18363714832443878
w2a27.1,0.0
w2a27.2,0.14188410332401818
w2a27.3,0.0
w2ba30,0.0
w2ba30.1,0.0
w2ba30.2,0.0
w2ba30.3,0.031677666226185355
w2a2101b,0.0
w2a2101b.1,0.0
w2a2101b.2,0.0
